      Age   Thickness   Depth
         290        3.84     739.66
         291        2.92     742.58
         292        1.84     744.42
         293        2.88     747.30
         294        2.92     750.22
         295        1.40     751.62
         296        0.88     752.50
         297        1.48     753.98
         298        1.12     755.10
         299        1.20     756.30
         300        1.72     758.02
         301        1.12     759.14
         302        1.12     760.26
         303        1.20     761.46
         304        2.40     763.86
         305        1.80     765.66
         306        1.84     767.50
         307        1.84     769.34
         308        1.60     770.94
         309        1.80     772.74
         310        2.40     775.14
         311        1.60     776.74
         312        1.40     778.14
         313        1.68     779.82
         314        1.32     781.14
         315        1.08     782.22
         316        1.20     783.42
         317        1.72     785.14
         318        2.24     787.38
         319        3.24     790.62
         320        2.80     793.42
         321        3.60     797.02
         322        1.80     798.82
         323        2.80     801.62
         324        2.00     803.62
         325        1.80     805.42
         326        3.20     808.62
         327        3.44     812.06
         328        3.04     815.10
         329        1.68     816.78
         330        1.64     818.42
         331        1.76     820.18
         332        2.24     822.42
         333        1.76     824.18
         334        2.00     826.18
         335        1.60     827.78
         336        2.00     829.78
         337        1.28     831.06
         338        1.32     832.38
         339        1.32     833.70
         340        0.80     834.50
         341        1.84     836.34
         342        2.20     838.54
         343        1.84     840.38
         344        1.72     842.10
         345        1.52     843.62
         346        1.88     845.50
         347        2.68     848.18
         348        2.36     850.54
         349        2.72     853.26
         350        3.76     857.02
         351        3.44     860.46
         352        1.72     862.18
         353        1.76     863.94
         354        2.24     866.18
         355        1.28     867.46
         356        2.40     869.86
         357        0.60     870.46
         358        2.00     872.46
         359        1.68     874.14
         360        1.44     875.58
         361        1.52     877.10
         362        3.08     880.18
         363        2.56     882.74
         364        3.24     885.98
         365        2.12     888.10
         366        1.68     889.78
         367        2.00     891.78
         368        3.08     894.86
         369        1.92     896.78
         370        2.00     898.78
         371        1.68     900.46
         372        2.08     902.54
         373        1.32     903.86
         374        2.48     906.34
         375        2.40     908.74
         376        1.84     910.58
         377        1.24     911.82
         378        1.68     913.50
         379        1.60     915.10
         380        1.04     916.14
         381        1.56     917.70
         382        2.00     919.70
         383        2.04     921.74
         384        1.68     923.42
         385        1.40     924.82
         386        1.60     926.42
         387        3.44     929.86
         388        2.16     932.02
         389        2.48     934.50
         390        2.64     937.14
         391        3.92     941.06
         392        1.76     942.82
         393        2.08     944.90
         394        1.44     946.34
         395        2.44     948.78
         396        1.28     950.06
         397        2.32     952.38
         398        2.08     954.46
         399        1.12     955.58
         400        1.44     957.02
         401        1.52     958.54
         402        2.72     961.26
         403        2.12     963.38
         404        2.08     965.46
         405        2.48     967.94
         406        3.40     971.34
         407        2.80     974.14
         408        1.44     975.58
         409        1.40     976.98
         410        1.40     978.38
         411        1.16     979.54
         412        1.68     981.22
         413        1.72     982.94
         414        1.84     984.78
         415        0.96     985.74
         416        0.88     986.62
         417        0.92     987.54
         418        0.84     988.38
         419        1.00     989.38
         420        1.68     991.06
         421        2.84     993.90
         422        1.04     994.94
         423        1.44     996.38
         424        1.16     997.54
         425        1.60     999.14
         426        1.56    1000.70
         427        1.68    1002.38
         428        1.76    1004.14
         429        1.96    1006.10
         430        3.60    1009.70
         431        2.84    1012.54
         432        1.56    1014.10
         433        2.16    1016.26
         434        1.36    1017.62
         435        1.88    1019.50
         436        2.20    1021.70
         437        1.72    1023.42
         438        2.00    1025.42
         439        2.64    1028.06
         440        2.40    1030.46
         441        1.36    1031.82
         442        3.08    1034.90
         443        3.44    1038.34
         444        2.08    1040.42
         445        2.04    1042.46
         446        2.80    1045.26
         447        2.08    1047.34
         448        2.40    1049.74
         449        1.32    1051.06
         450        2.24    1053.30
         451        1.60    1054.90
         452        1.08    1055.98
         453        1.52    1057.50
         454        1.36    1058.86
         455        1.40    1060.26
         456        1.44    1061.70
         457        1.56    1063.26
         458        1.64    1064.90
         459        3.24    1068.14
         460        1.32    1069.46
         461        1.48    1070.94
         462        2.24    1073.18
         463        1.84    1075.02
         464        1.76    1076.78
         465        2.48    1079.26
         466        1.20    1080.46
         467        1.80    1082.26
         468        2.04    1084.30
         469        2.00    1086.30
         470        2.72    1089.02
         471        1.44    1090.46
         472        2.08    1092.54
         473        1.40    1093.94
         474        1.40    1095.34
         475        2.32    1097.66
         476        2.60    1100.26
         477        2.00    1102.26
         478        2.20    1104.46
         479        2.64    1107.10
         480        3.60    1110.70
         481        2.24    1112.94
         482        2.00    1114.94
         483        1.84    1116.78
         484        2.28    1119.06
         485        1.60    1120.66
         486        1.68    1122.34
         487        1.40    1123.74
         488        1.48    1125.22
         489        2.48    1127.70
         490        2.52    1130.22
         491        2.04    1132.26
         492        1.88    1134.14
         493        2.40    1136.54
         494        1.68    1138.22
         495        1.44    1139.66
         496        1.72    1141.38
         497        1.44    1142.82
         498        1.48    1144.30
         499        1.84    1146.14
         500        1.80    1147.94
         501        1.92    1149.86
         502        2.64    1152.50
         503        1.88    1154.38
         504        1.32    1155.70
         505        1.68    1157.38
         506        2.40    1159.78
         507        1.88    1161.66
         508        1.28    1162.94
