Depth	Age	Sample number	TOC 	 d13C
508	4452	HZM 646	7,3	-31,72
509	4489	HZM 645	-9999	-33,6
510	4532	HZM 644	11,8	-34,87
511	4569	HZM 643	-9999	-33,51
512	4616	HZM 642	8,7	-34,44
513	4632	HZM 641	-9999	-34,18
514	4657	HZM 640	9,7	-34,15
515	4698	HZM 639	-9999	-34,1
516	4739	HZM 638	15,3	-36,76
517	4770	HZM 637	-9999	-35,7
518	4801	HZM 636	12,4	-36,73
519	4828	HZM 635	-9999	-36,36
520	4841	HZM 634	9,6	-35,77
521	4860	HZM 633	-9999	-35,95
522	4883	HZM 632	12,5	-35,89
523	4911	HZM 631	-9999	-36,79
524	4931	HZM 630	10,7	-35,94
525	4953	HZM 629	-9999	-36,24
526	4974	HZM 628	9,9	-34,44
527	4991	HZM 627	-9999	-36,49
528	5009	HZM 626	11,5	-37,95
529	5029	HZM 625	-9999	-37,45
530	5045	HZM 624	12,7	-36,47
531	5067	HZM 623	-9999	-34,83
532	5083	HZM 622	9,9	-34,88
533	5092	HZM 621	-9999	-32,36
534	5102	HZM 620	4,7	-31,81
535	5111	HZM 619	-9999	-32,07
536	5115	HZM 618	5,9	-32,63
537	5119	HZM 617	-9999	-32,46
538	5133	HZM 616	6,7	-33,39
539	5153	HZM 615	-9999	-32,22
540	5165	HZM 614	6,4	-32,72
541	5176	HZM 613	-9999	-32,03
542	5186	HZM 612	5,2	-32,02
543	5200	HZM 611	-9999	-31,44
544	5209	HZM 610	5,4	-30,83
545	5221	HZM 609	-9999	-31,39
546	5227	HZM 608	4,4	-30,23
547	5233	HZM 607	-9999	-32,57
548	5238	HZM 606	8,4	-34,85
549	5252	HZM 605	-9999	-33,84
550	5265	HZM 604	9,1	-33,25
551	5286	HZM 603	-9999	-34,43
552	5312	HZM 602	10,8	-33,82
553	5334	HZM 601	-9999	-33,64
554	5347	HZM 600	8,5	-33,41
555	5359	HZM 599	-9999	-33,64
556	5385	HZM 598	7,3	-33,31
557	5417	HZM 597	-9999	-31,04
558	5447	HZM 596	6,6	-31,72
559	5477	HZM 595	-9999	-31,97
560	5501	HZM 594	6,7	-31,38
561	5520	HZM 593	-9999	-30,55
562	5536	HZM 592	9,1	-31,58
563	5559	HZM 591	-9999	-31,69
564	5579	HZM 590	8,4	-32,38
565	5595	HZM 589	-9999	-31,88
566	5600	HZM 588	8,7	-30,71
567	5619	HZM 587	-9999	-30,75
568	5635	HZM 586	8,6	-30,78
569	5668	HZM 585	-9999	-31,59
570	5698	HZM 584	8,2	-31,74
571	5714	HZM 583	-9999	-31,31
572	5735	HZM 582	6,7	-30,9
573	5752	HZM 581	-9999	-30,56
574	5775	HZM 580	7,6	-29,78
575	5803	HZM 579	-9999	-29,27
576	5829	HZM 578	7,4	-29,06
577	5852	HZM 577	-9999	-29,07
578	5866	HZM 576	7,5	-29,42
579	5878	HZM 575	-9999	-30,02
580	5890	HZM 574	8,6	-29,89
581	5905	HZM 573	-9999	-30,8
582	5919	HZM 572	6,9	-30,52
583	5932	HZM 571	-9999	-29,9
584	5938	HZM 570	8,3	-30,47
585	5945	HZM 569	-9999	-30,92
586	5977	HZM 568	8,1	-30,24
587	5990	HZM 567	-9999	-29,91
588	6005	HZM 566	9	-28,31
589	6017	HZM 565	-9999	-29,83
590	6024	HZM 564	9,5	-30,34
591	6032	HZM 563	-9999	-30,14
592	6041	HZM 562	11	-29,81
593	6049	HZM 561	9,4	-29,79
594	6059	HZM 560	11,6	-30,07
595	6070	HZM 559	11	-30,27
596	6078	HZM 558	8,8	-30,84
597	6090	HZM 557	-9999	-30,92
598	6098	HZM 556	9,9	-30,25
599	6110	HZM 555	-9999	-30,83
600	6124	HZM 554	10,4	-30,92
601	6130	HZM 553	-9999	-30,18
602	6132	HZM 552	9,7	-30,58
603	6144	HZM 551	-9999	-30,68
604	6159	HZM 550	10,4	-30,91
605	6177	HZM 549	-9999	-31,04
606	6191	HZM 548	11,1	-30,66
607	6205	HZM 547	-9999	-30,94
608	6215	HZM 546	8,8	-31,8
609	6226	HZM 545	-9999	-32
610	6238	HZM 544	8,1	-31,57
611	6250	HZM 543	-9999	-30,92
612	6262	HZM 542	10	-30,72
613	6276	HZM 541	-9999	-30,78
614	6291	HZM 540	9,3	-29,87
615	6300	HZM 539	-9999	-30,54
616	6310	HZM 538	7,5	-30,84
617	6319	HZM 537	-9999	-30,28
618	6328	HZM 536	8,3	-31,16
619	6338	HZM 535	7,4	-30,93
620	6347	HZM 534	5,8	-31,13
621	6358	HZM 533	10,1	-29,84
622	6380	HZM 532	10,9	-29,29
623	6396	HZM 531	-9999	-29,77
624	6407	HZM 530	10,4	-29,71
625	6426	HZM 529	-9999	-29,61
626	6444	HZM 528	11,2	-29,74
627	6463	HZM 527	-9999	-29,81
628	6485	HZM 526	10,5	-30,27
629	6493	HZM 525	-9999	-30,84
630	6502	HZM 524	10,6	-29,83
631	6519	HZM 523	-9999	-29,25
632	6536	HZM 522	11,5	-29,81
633	6557	HZM 521	-9999	-29,68
634	6574	HZM 520	11,7	-29,37
635	6590	HZM 519	-9999	-30,16
636	6611	HZM 518	9,7	-30,1
637	6631	HZM 517	-9999	-30,06
638	6643	HZM 516	8,5	-30,01
639	6655	HZM 515	-9999	-30,24
640	6667	HZM 514	10,3	-30,46
641	6690	HZM 513	-9999	-30,72
642	6699	HZM 512	11,3	-30,22
643	6708	HZM 511	-9999	-30,02
644	6734	HZM 510	11,5	-30,39
645	6763	HZM 509	-9999	-30,29
646	6785	HZM 508	11,3	-30,38
647	6811	HZM 507	-9999	-30,54
648	6840	HZM 506	12,4	-30,26
649	6866	HZM 505	-9999	-30,21
650	6894	HZM 504	14,7	-30,42
651	6921	HZM 503	-9999	-30,21
652	6949	HZM 502	13,5	-30,29
653	6970	HZM 501	-9999	-29,84
654	6990	HZM 500	13	-30,05
655	7007	HZM 499	-9999	-29,73
656	7027	HZM 498	12	-30,66
657	7044	HZM 497	-9999	-30,36
658	7064	HZM 496	9,2	-31,17
659	7079	HZM 495	-9999	-31,12
660	7096	HZM 494	7,2	-31,14
661	7112	HZM 493	-9999	-31
662	7121	HZM 492	8,7	-31,41
663	7132	HZM 491	-9999	-31,07
664	7150	HZM 490	10,1	-30,91
665	7171	HZM 489	-9999	-31,31
666	7190	HZM 488	7,2	-31,12
667	7215	HZM 487	-9999	-31,77
668	7234	HZM 486	10	-30,96
669	7256	HZM 485	-9999	-29,53
670	7274	HZM 484	6	-29,43
671	7295	HZM 483	-9999	-30,74
672	7304	HZM 482	7,4	-30,6
673	7320	HZM 481	-9999	-29,76
674	7339	HZM 480	6,3	-30,21
675	7355	HZM 479	-9999	-30,55
676	7375	HZM 478	9,3	-30,94
677	7400	HZM 477	-9999	-30,28
678	7427	HZM 476	12	-30,25
679	7456	HZM 475	-9999	-30,26
680	7467	HZM 474	9,7	-30,21
681	7478	HZM 473	-9999	-30,53
682	7497	HZM 472	9,8	-30,37
683	7519	HZM 471	-9999	-30,39
684	7539	HZM 470	11,9	-30,93
685	7561	HZM 469	-9999	-29,98
686	7581	HZM 468	10,5	-30,48
687	7606	HZM 467	-9999	-30,77
688	7631	HZM 466	11	-30,33
689	7653	HZM 465	-9999	-30,28
690	7672	HZM 464	13,7	-30,85
691	7688	HZM 463	-9999	-30,38
692	7707	HZM 462	13,7	-30,33
693	7731	HZM 461	-9999	-31,11
694	7753	HZM 460	11,8	-30,5
695	7777	HZM 459	-9999	-30,21
696	7802	HZM 458	11,9	-30,78
697	7820	HZM 457	-9999	-30,72
698	7837	HZM 456	9	-30,85
699	7858	HZM 455	-9999	-30,8
700	7882	HZM 454	8,4	-31,21
701	7888	HZM 453	-9999	-31,58
702	7893	HZM 452	7	-31,97
703	7907	HZM 451	-9999	-32,02
704	7930	HZM 450	6,2	-31,03
705	7945	HZM 449	-9999	-31,41
706	7955	HZM 448	6,7	-31,34
707	7967	HZM 447	-9999	-31,35
708	7981	HZM 446	6,7	-31,24
709	7996	HZM 445	-9999	-31,64
