Depth	Age	Sample number	TOC 	 d13C
200	796	HZM 954	4,6	-28,79
201	802	HZM 953	-9999	-28,94
202	810	HZM 952	-9999	-27,6
203	819	HZM 951	-9999	-26,23
204	819	HZM 950	2,2	-27,45
205	820	HZM 949	-9999	-28,34
206	820	HZM 948	-9999	-28,81
207	828	HZM 947	-9999	-28,76
208	835	HZM 946	4,5	-28,54
206	838	HZM 945	-9999	-29,18
210	842	HZM 944	-9999	-28,68
211	848	HZM 943	4,9	-29,22
212	853	HZM 942	-9999	-29,21
213	860	HZM 941	-9999	-30,11
214	867	HZM 940	-9999	-29,28
215	875	HZM 939	-9999	-28,6
216	881	HZM 938	11,4	-29,04
217	882	HZM 937	-9999	-30,48
218	888	HZM 936	-9999	-30,07
219	890	HZM 935	-9999	-29,32
220	899	HZM 934	7,6	-29,82
221	903	HZM 933	-9999	-30,65
222	909	HZM 932	-9999	-30,67
223	916	HZM 931	-9999	-30,76
224	924	HZM 930	8	-30,33
225	929	HZM 929	-9999	-31,23
226	938	HZM 928	-9999	-30,77
227	941	HZM 927	-9999	-31,76
228	947	HZM 926	10,7	-33,26
229	954	HZM 925	-9999	-33,7
230	961	HZM 924	-9999	-32,79
231	968	HZM 923	-9999	-32,11
232	976	HZM 922	11,8	-32,14
233	985	HZM 921	-9999	-30,75
234	986	HZM 920	-9999	-29,33
235	991	HZM 919	-9999	-31,27
236	1000	HZM 918	13,7	-31,18
237	1017	HZM 917	-9999	-32,05
238	1030	HZM 916	-9999	-32,71
239	1044	HZM 915	-9999	-33,08
240	1056	HZM 914	11	-33,14
241	1082	HZM 913	-9999	-33,42
242	1092	HZM 912	-9999	-33,62
243	1107	HZM 911	-9999	-33,8
244	1115	HZM 910	9,9	-33,09
245	1127	HZM 909	-9999	-33,1
246	1138	HZM 908	-9999	-33,41
247	1146	HZM 907	-9999	-33,84
248	1153	HZM 906	9,8	-34,02
249	1167	HZM 905	-9999	-34,5
250	1179	HZM 904	-9999	-33,68
251	1195	HZM 903	-9999	-33,52
252	1210	HZM 902	8,8	-34,07
253	1217	HZM 901	-9999	-34,2
254	1235	HZM 900	-9999	-33,44
255	1246	HZM 899	-9999	-33,25
256	1261	HZM 898	9,3	-33,55
257	1271	HZM 897	-9999	-33,52
258	1280	HZM 896	-9999	-33,24
259	1289	HZM 895	-9999	-32,98
260	1298	HZM 894	9,9	-33,31
261	1308	HZM 893	-9999	-33,19
262	1318	HZM 892	-9999	-33,19
263	1326	HZM 891	-9999	-33,3
264	1335	HZM 890	10,5	-32,82
265	1342	HZM 889	-9999	-32,79
266	1348	HZM 888	-9999	-32,5
267	1354	HZM 887	-9999	-32,86
268	1363	HZM 886	9,6	-33,29
269	1384	HZM 885	-9999	-32,94
270	1391	HZM 884	-9999	-33,4
271	1398	HZM 883	-9999	-32,7
272	1408	HZM 882	10,6	-32,95
273	1419	HZM 881	-9999	-33,8
274	1428	HZM 880	-9999	-33
275	1438	HZM 879	-9999	-33,24
276	1446	HZM 878	9,8	-33,35
277	1453	HZM 877	-9999	-33,64
278	1462	HZM 876	-9999	-33,81
279	1469	HZM 875	-9999	-33,45
280	1476	HZM 874	10,6	-33,29
281	1483	HZM 873	-9999	-33,72
282	1489	HZM 872	-9999	-33,64
283	1495	HZM 871	-9999	-33,63
284	1504	HZM 870	9,7	-33,56
285	1522	HZM 869	-9999	-33,17
286	1533	HZM 868	11	-33,65
287	1542	HZM 867	-9999	-33,67
288	1552	HZM 866	10,4	-33,76
289	1563	HZM 865	-9999	-33,29
290	1573	HZM 864	10,2	-33,53
291	1582	HZM 863	-9999	-32,93
292	1589	HZM 862	9,3	-33,11
293	1595	HZM 861	-9999	-33,63
294	1601	HZM 860	10,7	-33,68
295	1609	HZM 859	-9999	-33,27
296	1617	HZM 858	10	-33,66
297	1624	HZM 857	11,7	-33,45
298	1633	HZM 856	13,8	-33,15
299	1636	HZM 855	-9999	-32,64
300	1644	HZM 854	12,6	-32,1
301	1662	HZM 853	-9999	-31,08
302	1672	HZM 852	9,8	-30,56
303	1686	HZM 851	-9999	-30,53
304	1692	HZM 850	10,6	-30,48
305	1701	HZM 849	-9999	-30,25
306	1710	HZM 848	6,3	-29,44
307	1716	HZM 847	-9999	-29,69
308	1724	HZM 846	6,7	-29,09
309	1728	HZM 845	-9999	-29,26
310	1732	HZM 844	6,4	-29,67
311	1739	HZM 843	-9999	-29,34
312	1748	HZM 842	8,9	-29,43
313	1755	HZM 841	-9999	-29,58
314	1768	HZM 840	7,1	-29,4
315	1772	HZM 839	-9999	-29,06
316	1775	HZM 838	5,6	-28,48
317	1783	HZM 837	-9999	-28,14
318	1789	HZM 836	5,9	-28,26
319	1799	HZM 835	-9999	-29,05
320	1808	HZM 834	7	-28,94
321	1817	HZM 833	-9999	-28,92
322	1820	HZM 832	7,6	-28,9
323	1823	HZM 831	-9999	-29,15
324	1826	HZM 830	5,8	-29,19
325	1830	HZM 829	-9999	-29,04
326	1835	HZM 828	5,1	-28,92
327	1840	HZM 827	-9999	-28,82
328	1844	HZM 826	5	-28,83
329	1851	HZM 825	-9999	-29,16
330	1858	HZM 824	8,5	-29,2
331	1865	HZM 823	-9999	-29,16
332	1872	HZM 822	7	-29,13
333	1879	HZM 821	-9999	-28,98
334	1886	HZM 820	7,7	-29,09
335	1889	HZM 819	-9999	-29,11
336	1894	HZM 818	7,3	-29
337	1896	HZM 817	-9999	-28,79
338	1899	HZM 816	8,3	-28,9
339	1903	HZM 815	-9999	-28,73
340	1905	HZM 814	9,4	-28,8
341	1907	HZM 813	-9999	-28,7
342	1913	HZM 812	9,1	-28,78
343	1919	HZM 811	-9999	-28,89
344	1923	HZM 810	8,9	-28,75
345	1929	HZM 809	6,8	-28,69
346	1935	HZM 808	4,7	-28,41
347	1940	HZM 807	-9999	-28,48
